ts,asset_id,voltage_v,current_a,temperature_c,soc_pct,profile,label,event_type,event_id
2026-02-01T00:00:00.000Z,asset_A1,53.186,2.186,27.972,88.014,nominal,0,none,
2026-02-01T00:01:00.000Z,asset_A1,53.179,2.186,28.034,88.018,nominal,0,none,
2026-02-01T00:02:00.000Z,asset_A1,53.135,2.13,28.092,88.042,nominal,0,none,
2026-02-01T00:03:00.000Z,asset_A1,53.071,2.19,28.172,88.052,nominal,0,none,
2026-02-01T00:04:00.000Z,asset_A1,53.301,2.129,28.215,88.004,nominal,0,none,
2026-02-01T00:05:00.000Z,asset_A1,53.307,2.267,27.782,87.987,nominal,0,none,
2026-02-01T00:06:00.000Z,asset_A1,53.237,2.281,28.265,87.953,nominal,0,none,
2026-02-01T00:07:00.000Z,asset_A1,53.158,2.183,28.254,87.896,nominal,0,none,
2026-02-01T00:08:00.000Z,asset_A1,53.308,2.346,28.267,87.822,nominal,0,none,
2026-02-01T00:09:00.000Z,asset_A1,53.184,2.316,27.799,87.856,nominal,0,none,
2026-02-01T00:10:00.000Z,asset_A1,53.298,2.431,28.331,87.901,nominal,0,none,
2026-02-01T00:11:00.000Z,asset_A1,53.183,2.242,28.375,87.845,nominal,0,none,
2026-02-01T00:12:00.000Z,asset_A1,53.183,2.283,28.487,87.897,nominal,0,none,
2026-02-01T00:13:00.000Z,asset_A1,53.332,2.277,27.957,87.893,nominal,0,none,
2026-02-01T00:14:00.000Z,asset_A1,53.444,2.231,28.64,87.883,nominal,0,none,
2026-02-01T00:15:00.000Z,asset_A1,53.394,2.328,28.422,87.853,nominal,0,none,
2026-02-01T00:16:00.000Z,asset_A1,53.182,2.268,28.706,87.828,nominal,0,none,
2026-02-01T00:17:00.000Z,asset_A1,53.207,2.279,27.998,87.826,nominal,0,none,
2026-02-01T00:18:00.000Z,asset_A1,53.475,2.294,28.678,87.911,nominal,0,none,
2026-02-01T00:19:00.000Z,asset_A1,53.076,2.354,28.508,87.883,nominal,0,none,
2026-02-01T00:20:00.000Z,asset_A1,53.128,2.297,28.332,87.802,nominal,0,none,
2026-02-01T00:21:00.000Z,asset_A1,53.224,2.304,28.609,87.822,nominal,0,none,
2026-02-01T00:22:00.000Z,asset_A1,53.324,2.326,28.236,87.883,nominal,0,none,
2026-02-01T00:23:00.000Z,asset_A1,53.34,2.314,28.976,87.955,nominal,0,none,
2026-02-01T00:24:00.000Z,asset_A1,53.294,2.335,28.757,87.964,nominal,0,none,
2026-02-01T00:25:00.000Z,asset_A1,53.222,2.362,28.633,87.888,nominal,0,none,
2026-02-01T00:26:00.000Z,asset_A1,53.327,2.294,28.312,87.905,nominal,0,none,
